,KABKOT,month,year,longitude,latitude,tp,time
65,JAKARTA PUSAT,10,2022,106.84999999999997,-6.200000000000003,9.109007883816847,2022-10-01
68,JAKARTA PUSAT,11,2022,106.84999999999997,-6.200000000000003,6.044120602309543,2022-11-01
71,JAKARTA PUSAT,12,2022,106.84999999999997,-6.200000000000003,8.146679736673606,2022-12-01
74,JAKARTA SELATAN,1,2022,106.8083333333333,-6.283333333333336,6.133702614654962,2022-01-01
77,JAKARTA SELATAN,2,2022,106.8083333333333,-6.283333333333336,7.170308536539367,2022-02-01
80,JAKARTA SELATAN,3,2022,106.8083333333333,-6.283333333333336,5.728620787461448,2022-03-01
83,JAKARTA SELATAN,4,2022,106.8083333333333,-6.283333333333336,6.754099080959899,2022-04-01
86,JAKARTA SELATAN,5,2022,106.8083333333333,-6.283333333333336,4.537256589780256,2022-05-01
89,JAKARTA SELATAN,6,2022,106.8083333333333,-6.283333333333336,5.11871945733827,2022-06-01
92,JAKARTA SELATAN,7,2022,106.8083333333333,-6.283333333333336,5.238950190445102,2022-07-01
95,JAKARTA SELATAN,8,2022,106.8083333333333,-6.283333333333336,2.867935877293434,2022-08-01
98,JAKARTA SELATAN,9,2022,106.8083333333333,-6.283333333333336,5.510060489177928,2022-09-01
101,JAKARTA SELATAN,10,2022,106.8083333333333,-6.283333333333336,9.893112132946586,2022-10-01
104,JAKARTA SELATAN,11,2022,106.8083333333333,-6.283333333333336,6.69994158670293,2022-11-01
107,JAKARTA SELATAN,12,2022,106.8083333333333,-6.283333333333336,8.4693692624567,2022-12-01
110,JAKARTA TIMUR,1,2022,106.90999999999997,-6.2600000000000025,6.538067281246006,2022-01-01
113,JAKARTA TIMUR,2,2022,106.90999999999997,-6.2600000000000025,7.414845861494392,2022-02-01
116,JAKARTA TIMUR,3,2022,106.90999999999997,-6.2600000000000025,6.047833338379656,2022-03-01
119,JAKARTA TIMUR,4,2022,106.90999999999997,-6.2600000000000025,6.838584206998251,2022-04-01
122,JAKARTA TIMUR,5,2022,106.90999999999997,-6.2600000000000025,4.585067585110645,2022-05-01
125,JAKARTA TIMUR,6,2022,106.90999999999997,-6.2600000000000025,5.138857521116717,2022-06-01
128,JAKARTA TIMUR,7,2022,106.90999999999997,-6.2600000000000025,4.500942073762778,2022-07-01
131,JAKARTA TIMUR,8,2022,106.90999999999997,-6.2600000000000025,2.700824588537291,2022-08-01
134,JAKARTA TIMUR,9,2022,106.90999999999997,-6.2600000000000025,4.986750133335822,2022-09-01
137,JAKARTA TIMUR,10,2022,106.90999999999997,-6.2600000000000025,10.011915367096536,2022-10-01
140,JAKARTA TIMUR,11,2022,106.90999999999997,-6.2600000000000025,6.89838689565641,2022-11-01
143,JAKARTA TIMUR,12,2022,106.90999999999997,-6.2600000000000025,8.883232079446069,2022-12-01
146,JAKARTA UTARA,1,2022,106.89166666666664,-6.1250000000000036,6.727245748042898,2022-01-01
149,JAKARTA UTARA,2,2022,106.89166666666664,-6.1250000000000036,6.805269876494901,2022-02-01
152,JAKARTA UTARA,3,2022,106.89166666666664,-6.1250000000000036,5.0209857585528646,2022-03-01
155,JAKARTA UTARA,4,2022,106.89166666666664,-6.1250000000000036,5.804147701710427,2022-04-01
158,JAKARTA UTARA,5,2022,106.89166666666664,-6.1250000000000036,4.492542843023923,2022-05-01
161,JAKARTA UTARA,6,2022,106.89166666666664,-6.1250000000000036,4.82623031983771,2022-06-01
164,JAKARTA UTARA,7,2022,106.89166666666664,-6.1250000000000036,4.51284249002763,2022-07-01
167,JAKARTA UTARA,8,2022,106.89166666666664,-6.1250000000000036,2.4352472896377764,2022-08-01
170,JAKARTA UTARA,9,2022,106.89166666666664,-6.1250000000000036,4.522162129481786,2022-09-01
173,JAKARTA UTARA,10,2022,106.89166666666664,-6.1250000000000036,8.589306309198298,2022-10-01
176,JAKARTA UTARA,11,2022,106.89166666666664,-6.1250000000000036,5.543475951999294,2022-11-01
179,JAKARTA UTARA,12,2022,106.89166666666664,-6.1250000000000036,7.970699879030204,2022-12-01
