,KABKOT,month,year,longitude,latitude,rh,time
76,JAKARTA SELATAN,2,2021,106.8083333333333,-6.283333333333336,87.12861124674471,2021-02-01
79,JAKARTA SELATAN,3,2021,106.8083333333333,-6.283333333333336,83.14095560709632,2021-03-01
82,JAKARTA SELATAN,4,2021,106.8083333333333,-6.283333333333336,81.7409973144531,2021-04-01
85,JAKARTA SELATAN,5,2021,106.8083333333333,-6.283333333333336,81.49474080403635,2021-05-01
88,JAKARTA SELATAN,6,2021,106.8083333333333,-6.283333333333336,84.13217671712246,2021-06-01
91,JAKARTA SELATAN,7,2021,106.8083333333333,-6.283333333333336,78.07397969563804,2021-07-01
94,JAKARTA SELATAN,8,2021,106.8083333333333,-6.283333333333336,79.3603973388674,2021-08-01
97,JAKARTA SELATAN,9,2021,106.8083333333333,-6.283333333333336,79.73533630371112,2021-09-01
100,JAKARTA SELATAN,10,2021,106.8083333333333,-6.283333333333336,80.20740763346353,2021-10-01
103,JAKARTA SELATAN,11,2021,106.8083333333333,-6.283333333333336,82.29898071289061,2021-11-01
106,JAKARTA SELATAN,12,2021,106.8083333333333,-6.283333333333336,83.90416463216141,2021-12-01
109,JAKARTA TIMUR,1,2021,106.90999999999997,-6.2600000000000025,86.37867797851555,2021-01-01
112,JAKARTA TIMUR,2,2021,106.90999999999997,-6.2600000000000025,87.24236450195303,2021-02-01
115,JAKARTA TIMUR,3,2021,106.90999999999997,-6.2600000000000025,83.26199584960932,2021-03-01
118,JAKARTA TIMUR,4,2021,106.90999999999997,-6.2600000000000025,81.6902404785157,2021-04-01
121,JAKARTA TIMUR,5,2021,106.90999999999997,-6.2600000000000025,81.54355468750003,2021-05-01
124,JAKARTA TIMUR,6,2021,106.90999999999997,-6.2600000000000025,84.04538940429688,2021-06-01
127,JAKARTA TIMUR,7,2021,106.90999999999997,-6.2600000000000025,78.23474853515614,2021-07-01
130,JAKARTA TIMUR,8,2021,106.90999999999997,-6.2600000000000025,79.0052270507814,2021-08-01
133,JAKARTA TIMUR,9,2021,106.90999999999997,-6.2600000000000025,79.22582885742206,2021-09-01
136,JAKARTA TIMUR,10,2021,106.90999999999997,-6.2600000000000025,80.16790405273429,2021-10-01
139,JAKARTA TIMUR,11,2021,106.90999999999997,-6.2600000000000025,82.23363891601548,2021-11-01
142,JAKARTA TIMUR,12,2021,106.90999999999997,-6.2600000000000025,83.898348388672,2021-12-01
145,JAKARTA UTARA,1,2021,106.89166666666664,-6.1250000000000036,85.72125549316411,2021-01-01
148,JAKARTA UTARA,2,2021,106.89166666666664,-6.1250000000000036,86.66602071126296,2021-02-01
151,JAKARTA UTARA,3,2021,106.89166666666664,-6.1250000000000036,82.90529785156252,2021-03-01
154,JAKARTA UTARA,4,2021,106.89166666666664,-6.1250000000000036,81.39601440429686,2021-04-01
157,JAKARTA UTARA,5,2021,106.89166666666664,-6.1250000000000036,81.15157267252613,2021-05-01
160,JAKARTA UTARA,6,2021,106.89166666666664,-6.1250000000000036,83.43988037109393,2021-06-01
163,JAKARTA UTARA,7,2021,106.89166666666664,-6.1250000000000036,78.2942576090494,2021-07-01
166,JAKARTA UTARA,8,2021,106.89166666666664,-6.1250000000000036,78.58107808430991,2021-08-01
169,JAKARTA UTARA,9,2021,106.89166666666664,-6.1250000000000036,79.20995686848964,2021-09-01
172,JAKARTA UTARA,10,2021,106.89166666666664,-6.1250000000000036,79.24429626464833,2021-10-01
175,JAKARTA UTARA,11,2021,106.89166666666664,-6.1250000000000036,81.30352071126306,2021-11-01
178,JAKARTA UTARA,12,2021,106.89166666666664,-6.1250000000000036,83.48794759114588,2021-12-01
2,JAKARTA BARAT,1,2022,106.74999999999996,-6.158333333333336,83.32106628417976,2022-01-01
5,JAKARTA BARAT,2,2022,106.74999999999996,-6.158333333333336,83.5305501302084,2022-02-01
8,JAKARTA BARAT,3,2022,106.74999999999996,-6.158333333333336,82.71324259440108,2022-03-01
11,JAKARTA BARAT,4,2022,106.74999999999996,-6.158333333333336,82.04018046061208,2022-04-01
14,JAKARTA BARAT,5,2022,106.74999999999996,-6.158333333333336,83.53308308919291,2022-05-01
17,JAKARTA BARAT,6,2022,106.74999999999996,-6.158333333333336,83.67923278808618,2022-06-01
20,JAKARTA BARAT,7,2022,106.74999999999996,-6.158333333333336,81.59126892089844,2022-07-01
23,JAKARTA BARAT,8,2022,106.74999999999996,-6.158333333333336,80.05228881835951,2022-08-01
26,JAKARTA BARAT,9,2022,106.74999999999996,-6.158333333333336,80.84428202311226,2022-09-01
29,JAKARTA BARAT,10,2022,106.74999999999996,-6.158333333333336,82.82036234537755,2022-10-01
32,JAKARTA BARAT,11,2022,106.74999999999996,-6.158333333333336,82.11912638346358,2022-11-01
35,JAKARTA BARAT,12,2022,106.74999999999996,-6.158333333333336,83.02156982421879,2022-12-01
38,JAKARTA PUSAT,1,2022,106.84999999999997,-6.200000000000003,83.46480712890639,2022-01-01
41,JAKARTA PUSAT,2,2022,106.84999999999997,-6.200000000000003,83.64860839843743,2022-02-01
44,JAKARTA PUSAT,3,2022,106.84999999999997,-6.200000000000003,82.73186645507822,2022-03-01
47,JAKARTA PUSAT,4,2022,106.84999999999997,-6.200000000000003,82.13812866210958,2022-04-01
50,JAKARTA PUSAT,5,2022,106.84999999999997,-6.200000000000003,83.51417846679709,2022-05-01
53,JAKARTA PUSAT,6,2022,106.84999999999997,-6.200000000000003,83.62476806640616,2022-06-01
56,JAKARTA PUSAT,7,2022,106.84999999999997,-6.200000000000003,81.43462524414076,2022-07-01
59,JAKARTA PUSAT,8,2022,106.84999999999997,-6.200000000000003,79.7502014160159,2022-08-01
62,JAKARTA PUSAT,9,2022,106.84999999999997,-6.200000000000003,80.49128417968772,2022-09-01
65,JAKARTA PUSAT,10,2022,106.84999999999997,-6.200000000000003,82.88791503906228,2022-10-01
68,JAKARTA PUSAT,11,2022,106.84999999999997,-6.200000000000003,82.238122558594,2022-11-01
71,JAKARTA PUSAT,12,2022,106.84999999999997,-6.200000000000003,83.18475952148445,2022-12-01
74,JAKARTA SELATAN,1,2022,106.8083333333333,-6.283333333333336,83.5532328287761,2022-01-01
77,JAKARTA SELATAN,2,2022,106.8083333333333,-6.283333333333336,84.03237406412761,2022-02-01
80,JAKARTA SELATAN,3,2022,106.8083333333333,-6.283333333333336,82.91973876953126,2022-03-01
83,JAKARTA SELATAN,4,2022,106.8083333333333,-6.283333333333336,82.63916524251306,2022-04-01
86,JAKARTA SELATAN,5,2022,106.8083333333333,-6.283333333333336,83.93674723307295,2022-05-01
89,JAKARTA SELATAN,6,2022,106.8083333333333,-6.283333333333336,84.11900329589845,2022-06-01
92,JAKARTA SELATAN,7,2022,106.8083333333333,-6.283333333333336,81.70036824544287,2022-07-01
95,JAKARTA SELATAN,8,2022,106.8083333333333,-6.283333333333336,80.16188049316426,2022-08-01
98,JAKARTA SELATAN,9,2022,106.8083333333333,-6.283333333333336,81.0453389485679,2022-09-01
101,JAKARTA SELATAN,10,2022,106.8083333333333,-6.283333333333336,83.17477416992186,2022-10-01
104,JAKARTA SELATAN,11,2022,106.8083333333333,-6.283333333333336,82.52971903483062,2022-11-01
107,JAKARTA SELATAN,12,2022,106.8083333333333,-6.283333333333336,83.51971435546874,2022-12-01
110,JAKARTA TIMUR,1,2022,106.90999999999997,-6.2600000000000025,83.68485595703123,2022-01-01
113,JAKARTA TIMUR,2,2022,106.90999999999997,-6.2600000000000025,83.99795532226558,2022-02-01
116,JAKARTA TIMUR,3,2022,106.90999999999997,-6.2600000000000025,83.0044519042969,2022-03-01
119,JAKARTA TIMUR,4,2022,106.90999999999997,-6.2600000000000025,82.55715820312508,2022-04-01
122,JAKARTA TIMUR,5,2022,106.90999999999997,-6.2600000000000025,83.78887329101576,2022-05-01
125,JAKARTA TIMUR,6,2022,106.90999999999997,-6.2600000000000025,83.87068237304692,2022-06-01
128,JAKARTA TIMUR,7,2022,106.90999999999997,-6.2600000000000025,81.49351562500004,2022-07-01
131,JAKARTA TIMUR,8,2022,106.90999999999997,-6.2600000000000025,79.8287866210939,2022-08-01
134,JAKARTA TIMUR,9,2022,106.90999999999997,-6.2600000000000025,80.55247070312515,2022-09-01
137,JAKARTA TIMUR,10,2022,106.90999999999997,-6.2600000000000025,83.16368286132808,2022-10-01
140,JAKARTA TIMUR,11,2022,106.90999999999997,-6.2600000000000025,82.58657226562502,2022-11-01
143,JAKARTA TIMUR,12,2022,106.90999999999997,-6.2600000000000025,83.61429199218743,2022-12-01
146,JAKARTA UTARA,1,2022,106.89166666666664,-6.1250000000000036,83.47285868326817,2022-01-01
149,JAKARTA UTARA,2,2022,106.89166666666664,-6.1250000000000036,83.3881561279298,2022-02-01
152,JAKARTA UTARA,3,2022,106.89166666666664,-6.1250000000000036,82.65115763346354,2022-03-01
155,JAKARTA UTARA,4,2022,106.89166666666664,-6.1250000000000036,81.80991719563805,2022-04-01
158,JAKARTA UTARA,5,2022,106.89166666666664,-6.1250000000000036,83.25731201171881,2022-05-01
161,JAKARTA UTARA,6,2022,106.89166666666664,-6.1250000000000036,83.22667134602877,2022-06-01
164,JAKARTA UTARA,7,2022,106.89166666666664,-6.1250000000000036,81.37550760904963,2022-07-01
167,JAKARTA UTARA,8,2022,106.89166666666664,-6.1250000000000036,79.77985432942707,2022-08-01
170,JAKARTA UTARA,9,2022,106.89166666666664,-6.1250000000000036,80.35657450358087,2022-09-01
173,JAKARTA UTARA,10,2022,106.89166666666664,-6.1250000000000036,82.7173522949219,2022-10-01
176,JAKARTA UTARA,11,2022,106.89166666666664,-6.1250000000000036,82.04586181640617,2022-11-01
179,JAKARTA UTARA,12,2022,106.89166666666664,-6.1250000000000036,83.00658772786463,2022-12-01
