,KABKOT,month,year,time,longitude,latitude,tb,pm2p5,pm10,so2
15,JAKARTA PUSAT,4,2018,2018-04-01,106.84999999999997,-6.200000000000003,472,62.30025698291405,88.42057383162826,108.14081411704768
16,JAKARTA PUSAT,5,2018,2018-05-01,106.84999999999997,-6.200000000000003,493,69.28052409686458,98.45955953362,120.1971047073894
17,JAKARTA PUSAT,6,2018,2018-06-01,106.84999999999997,-6.200000000000003,355,70.30925235795978,99.9438661608583,117.54205683457307
18,JAKARTA PUSAT,7,2018,2018-07-01,106.84999999999997,-6.200000000000003,563,70.71854079517603,100.5689869515457,121.21812332400644
19,JAKARTA PUSAT,8,2018,2018-08-01,106.84999999999997,-6.200000000000003,494,58.37065423008976,82.93507871570819,98.00943229863884
20,JAKARTA PUSAT,9,2018,2018-09-01,106.84999999999997,-6.200000000000003,427,60.8912565643521,86.00002567268098,96.38689497689468
21,JAKARTA PUSAT,10,2018,2018-10-01,106.84999999999997,-6.200000000000003,556,60.95165146528405,86.23668422321484,88.41629576223352
22,JAKARTA PUSAT,11,2018,2018-11-01,106.84999999999997,-6.200000000000003,564,59.5638276005659,84.5505408264565,93.55952529712071
23,JAKARTA PUSAT,12,2018,2018-12-01,106.84999999999997,-6.200000000000003,492,43.4625298062485,61.94517019035094,79.20391585702976
72,JAKARTA PUSAT,1,2019,2019-01-01,106.84999999999997,-6.200000000000003,689,41.412656509957415,59.13678287801831,76.23345081917496
73,JAKARTA PUSAT,2,2019,2019-02-01,106.84999999999997,-6.200000000000003,564,47.51715420544216,67.46158383919085,77.8868009439544
74,JAKARTA PUSAT,3,2019,2019-03-01,106.84999999999997,-6.200000000000003,543,47.47317819446078,67.4417725695283,95.83559972702804
75,JAKARTA PUSAT,4,2019,2019-04-01,106.84999999999997,-6.200000000000003,689,57.30045086712282,80.83897599912461,109.81165792204884
76,JAKARTA PUSAT,5,2019,2019-05-01,106.84999999999997,-6.200000000000003,552,63.12791850149425,89.73860614010839,123.64214479999455
77,JAKARTA PUSAT,6,2019,2019-06-01,106.84999999999997,-6.200000000000003,447,66.01288190448085,93.85806173156838,122.89134764020372
78,JAKARTA PUSAT,7,2019,2019-07-01,106.84999999999997,-6.200000000000003,724,55.68971037206542,79.32296360498636,111.1353406039727
79,JAKARTA PUSAT,8,2019,2019-08-01,106.84999999999997,-6.200000000000003,660,55.32339212521807,78.16248542032753,96.88215750885816
80,JAKARTA PUSAT,9,2019,2019-09-01,106.84999999999997,-6.200000000000003,614,54.68069891397517,77.53709441023788,94.11332392517326
81,JAKARTA PUSAT,10,2019,2019-10-01,106.84999999999997,-6.200000000000003,626,60.90423284810322,85.63219885478777,92.53721260827716
