,KABKOT,month,year,time,longitude,latitude,tb,rh,tp
72,JAKARTA PUSAT,1,2021,2021-01-01,106.84999999999997,-6.200000000000003,371,86.03822631835953,10.889165177941196
73,JAKARTA PUSAT,2,2021,2021-02-01,106.84999999999997,-6.200000000000003,348,86.85421752929669,14.592087119817386
74,JAKARTA PUSAT,3,2021,2021-03-01,106.84999999999997,-6.200000000000003,420,82.97490844726555,8.138815984129714
75,JAKARTA PUSAT,4,2021,2021-04-01,106.84999999999997,-6.200000000000003,424,81.48869628906255,5.379415787756331
76,JAKARTA PUSAT,5,2021,2021-05-01,106.84999999999997,-6.200000000000003,410,81.19916992187513,3.708481527865008
77,JAKARTA PUSAT,6,2021,2021-06-01,106.84999999999997,-6.200000000000003,431,83.70742797851561,4.860378764569697
78,JAKARTA PUSAT,7,2021,2021-07-01,106.84999999999997,-6.200000000000003,278,78.02808837890638,1.562837809324224
79,JAKARTA PUSAT,8,2021,2021-08-01,106.84999999999997,-6.200000000000003,449,78.75578613281246,5.246378108859259
80,JAKARTA PUSAT,9,2021,2021-09-01,106.84999999999997,-6.200000000000003,492,79.24213256835942,5.10979820042861
81,JAKARTA PUSAT,10,2021,2021-10-01,106.84999999999997,-6.200000000000003,518,79.5725585937498,4.605969861149648
82,JAKARTA PUSAT,11,2021,2021-11-01,106.84999999999997,-6.200000000000003,498,81.74925537109344,8.711064681410397
83,JAKARTA PUSAT,12,2021,2021-12-01,106.84999999999997,-6.200000000000003,492,83.64268188476557,7.924561128020075
132,JAKARTA PUSAT,1,2022,2022-01-01,106.84999999999997,-6.200000000000003,866,83.46480712890639,6.387758925556966
133,JAKARTA PUSAT,2,2022,2022-02-01,106.84999999999997,-6.200000000000003,378,83.64860839843743,6.939271874725682
134,JAKARTA PUSAT,3,2022,2022-03-01,106.84999999999997,-6.200000000000003,578,82.73186645507822,5.342451147734952
135,JAKARTA PUSAT,4,2022,2022-04-01,106.84999999999997,-6.200000000000003,567,82.13812866210958,6.224453113973061
136,JAKARTA PUSAT,5,2022,2022-05-01,106.84999999999997,-6.200000000000003,513,83.51417846679709,4.45075042545793
137,JAKARTA PUSAT,6,2022,2022-06-01,106.84999999999997,-6.200000000000003,614,83.62476806640616,4.871469624340505
138,JAKARTA PUSAT,7,2022,2022-07-01,106.84999999999997,-6.200000000000003,599,81.43462524414076,4.817460998893101
139,JAKARTA PUSAT,8,2022,2022-08-01,106.84999999999997,-6.200000000000003,675,79.7502014160159,2.546699158847389
140,JAKARTA PUSAT,9,2022,2022-09-01,106.84999999999997,-6.200000000000003,707,80.49128417968772,4.883859008550829
141,JAKARTA PUSAT,10,2022,2022-10-01,106.84999999999997,-6.200000000000003,692,82.88791503906228,9.109007883816847
142,JAKARTA PUSAT,11,2022,2022-11-01,106.84999999999997,-6.200000000000003,704,82.238122558594,6.044120602309543
143,JAKARTA PUSAT,12,2022,2022-12-01,106.84999999999997,-6.200000000000003,701,83.18475952148445,8.146679736673606
24,JAKARTA SELATAN,1,2020,2020-01-01,106.8083333333333,-6.283333333333336,623,86.42279052734371,15.172972343861574
25,JAKARTA SELATAN,2,2020,2020-02-01,106.8083333333333,-6.283333333333336,582,86.90752665201813,14.389887824654169
26,JAKARTA SELATAN,3,2020,2020-03-01,106.8083333333333,-6.283333333333336,650,84.84382120768231,11.565384734422002
27,JAKARTA SELATAN,4,2020,2020-04-01,106.8083333333333,-6.283333333333336,403,84.89725748697914,8.274471449355275
28,JAKARTA SELATAN,5,2020,2020-05-01,106.8083333333333,-6.283333333333336,283,83.9520111083984,6.054043273130912
29,JAKARTA SELATAN,6,2020,2020-06-01,106.8083333333333,-6.283333333333336,446,81.2392832438153,1.9616842269897805
