time,latitude,longitude,pm10,month,year
2020-01-01,-6.9,107.29999999999993,70.2125719816605,1,2020
2020-01-01,-6.9,107.34999999999992,70.66658435306225,1,2020
2020-01-01,-6.9,107.39999999999992,71.12059672446401,1,2020
2020-01-01,-6.9,107.44999999999992,71.57460909586577,1,2020
2020-01-01,-6.8500000000000005,106.0,40.70296810709806,1,2020
2020-01-01,-6.8500000000000005,106.05,42.31130257122582,1,2020
2020-01-01,-6.8500000000000005,106.1,43.91963703535359,1,2020
2020-01-01,-6.8500000000000005,106.15,45.52797149948135,1,2020
2020-01-01,-6.8500000000000005,106.2,47.13630596360911,1,2020
2020-01-01,-6.8500000000000005,106.25,48.74464042773688,1,2020
2020-01-01,-6.8500000000000005,106.29999999999998,50.35297489186464,1,2020
2020-01-01,-6.8500000000000005,106.34999999999998,51.961309355992405,1,2020
