,KABKOT,month,year,longitude,latitude,pm10,time
76,JAKARTA SELATAN,2,2021,106.8083333333333,-6.283333333333336,56.770450261743626,2021-02-01
79,JAKARTA SELATAN,3,2021,106.8083333333333,-6.283333333333336,70.64742858127894,2021-03-01
82,JAKARTA SELATAN,4,2021,106.8083333333333,-6.283333333333336,90.85940824654034,2021-04-01
85,JAKARTA SELATAN,5,2021,106.8083333333333,-6.283333333333336,98.53437449673288,2021-05-01
88,JAKARTA SELATAN,6,2021,106.8083333333333,-6.283333333333336,90.926540923736,2021-06-01
91,JAKARTA SELATAN,7,2021,106.8083333333333,-6.283333333333336,96.2923016977092,2021-07-01
94,JAKARTA SELATAN,8,2021,106.8083333333333,-6.283333333333336,95.71091690554873,2021-08-01
97,JAKARTA SELATAN,9,2021,106.8083333333333,-6.283333333333336,85.67855679252308,2021-09-01
100,JAKARTA SELATAN,10,2021,106.8083333333333,-6.283333333333336,89.34822254342392,2021-10-01
103,JAKARTA SELATAN,11,2021,106.8083333333333,-6.283333333333336,62.6113705375842,2021-11-01
106,JAKARTA SELATAN,12,2021,106.8083333333333,-6.283333333333336,65.06885183752125,2021-12-01
109,JAKARTA TIMUR,1,2021,106.90999999999997,-6.2600000000000025,59.468358391730604,2021-01-01
112,JAKARTA TIMUR,2,2021,106.90999999999997,-6.2600000000000025,56.16684523583143,2021-02-01
115,JAKARTA TIMUR,3,2021,106.90999999999997,-6.2600000000000025,70.08318416268352,2021-03-01
118,JAKARTA TIMUR,4,2021,106.90999999999997,-6.2600000000000025,88.62798878794878,2021-04-01
121,JAKARTA TIMUR,5,2021,106.90999999999997,-6.2600000000000025,94.10833574700595,2021-05-01
124,JAKARTA TIMUR,6,2021,106.90999999999997,-6.2600000000000025,87.18464412993526,2021-06-01
127,JAKARTA TIMUR,7,2021,106.90999999999997,-6.2600000000000025,90.98244610091618,2021-07-01
130,JAKARTA TIMUR,8,2021,106.90999999999997,-6.2600000000000025,90.28682324678266,2021-08-01
133,JAKARTA TIMUR,9,2021,106.90999999999997,-6.2600000000000025,81.63266201203746,2021-09-01
136,JAKARTA TIMUR,10,2021,106.90999999999997,-6.2600000000000025,86.30249483743245,2021-10-01
139,JAKARTA TIMUR,11,2021,106.90999999999997,-6.2600000000000025,62.4078657374125,2021-11-01
142,JAKARTA TIMUR,12,2021,106.90999999999997,-6.2600000000000025,64.91597275726208,2021-12-01
145,JAKARTA UTARA,1,2021,106.89166666666664,-6.1250000000000036,54.926339733264626,2021-01-01
148,JAKARTA UTARA,2,2021,106.89166666666664,-6.1250000000000036,52.355913779204485,2021-02-01
151,JAKARTA UTARA,3,2021,106.89166666666664,-6.1250000000000036,64.79492426455145,2021-03-01
154,JAKARTA UTARA,4,2021,106.89166666666664,-6.1250000000000036,82.19072078140486,2021-04-01
157,JAKARTA UTARA,5,2021,106.89166666666664,-6.1250000000000036,85.87985148899048,2021-05-01
160,JAKARTA UTARA,6,2021,106.89166666666664,-6.1250000000000036,79.95706600322973,2021-06-01
163,JAKARTA UTARA,7,2021,106.89166666666664,-6.1250000000000036,82.91717160189222,2021-07-01
166,JAKARTA UTARA,8,2021,106.89166666666664,-6.1250000000000036,83.77495807584228,2021-08-01
169,JAKARTA UTARA,9,2021,106.89166666666664,-6.1250000000000036,76.204047796897,2021-09-01
172,JAKARTA UTARA,10,2021,106.89166666666664,-6.1250000000000036,81.7015733506971,2021-10-01
175,JAKARTA UTARA,11,2021,106.89166666666664,-6.1250000000000036,58.05482987576547,2021-11-01
