time,latitude,longitude,pm2p5,month,year
2020-01-01,-6.9,107.29999999999993,49.30036222816578,1,2020
2020-01-01,-6.9,107.34999999999992,49.622029978379565,1,2020
2020-01-01,-6.9,107.39999999999992,49.94369772859336,1,2020
2020-01-01,-6.9,107.44999999999992,50.26536547880714,1,2020
2020-01-01,-6.8500000000000005,106.0,28.476787838904727,1,2020
2020-01-01,-6.8500000000000005,106.05,29.610022926895784,1,2020
2020-01-01,-6.8500000000000005,106.1,30.743258014886845,1,2020
2020-01-01,-6.8500000000000005,106.15,31.876493102877905,1,2020
2020-01-01,-6.8500000000000005,106.2,33.00972819086897,1,2020
2020-01-01,-6.8500000000000005,106.25,34.14296327886003,1,2020
2020-01-01,-6.8500000000000005,106.29999999999998,35.27619836685109,1,2020
2020-01-01,-6.8500000000000005,106.34999999999998,36.40943345484215,1,2020
