,KABKOT,month,year,longitude,latitude,so2,time
58,JAKARTA PUSAT,8,2021,106.84999999999997,-6.200000000000003,111.44752553811364,2021-08-01
61,JAKARTA PUSAT,9,2021,106.84999999999997,-6.200000000000003,104.24127297431336,2021-09-01
64,JAKARTA PUSAT,10,2021,106.84999999999997,-6.200000000000003,103.52580063291082,2021-10-01
67,JAKARTA PUSAT,11,2021,106.84999999999997,-6.200000000000003,87.33099520969337,2021-11-01
70,JAKARTA PUSAT,12,2021,106.84999999999997,-6.200000000000003,88.17734372913887,2021-12-01
73,JAKARTA SELATAN,1,2021,106.8083333333333,-6.283333333333336,83.28718270838553,2021-01-01
76,JAKARTA SELATAN,2,2021,106.8083333333333,-6.283333333333336,70.42346398485567,2021-02-01
79,JAKARTA SELATAN,3,2021,106.8083333333333,-6.283333333333336,106.88166776784455,2021-03-01
82,JAKARTA SELATAN,4,2021,106.8083333333333,-6.283333333333336,127.27402749446276,2021-04-01
85,JAKARTA SELATAN,5,2021,106.8083333333333,-6.283333333333336,137.20469396810267,2021-05-01
88,JAKARTA SELATAN,6,2021,106.8083333333333,-6.283333333333336,126.23731160226833,2021-06-01
91,JAKARTA SELATAN,7,2021,106.8083333333333,-6.283333333333336,136.65224970902318,2021-07-01
94,JAKARTA SELATAN,8,2021,106.8083333333333,-6.283333333333336,120.00255632421266,2021-08-01
97,JAKARTA SELATAN,9,2021,106.8083333333333,-6.283333333333336,111.17213341814733,2021-09-01
100,JAKARTA SELATAN,10,2021,106.8083333333333,-6.283333333333336,109.72405997063701,2021-10-01
103,JAKARTA SELATAN,11,2021,106.8083333333333,-6.283333333333336,92.02743319796592,2021-11-01
106,JAKARTA SELATAN,12,2021,106.8083333333333,-6.283333333333336,93.08632484010086,2021-12-01
109,JAKARTA TIMUR,1,2021,106.90999999999997,-6.2600000000000025,80.43972177413704,2021-01-01
112,JAKARTA TIMUR,2,2021,106.90999999999997,-6.2600000000000025,67.42971275845942,2021-02-01
115,JAKARTA TIMUR,3,2021,106.90999999999997,-6.2600000000000025,103.05720090820937,2021-03-01
118,JAKARTA TIMUR,4,2021,106.90999999999997,-6.2600000000000025,121.4923381559785,2021-04-01
121,JAKARTA TIMUR,5,2021,106.90999999999997,-6.2600000000000025,129.4982133479795,2021-05-01
124,JAKARTA TIMUR,6,2021,106.90999999999997,-6.2600000000000025,119.53546306595554,2021-06-01
127,JAKARTA TIMUR,7,2021,106.90999999999997,-6.2600000000000025,129.1367797059832,2021-07-01
130,JAKARTA TIMUR,8,2021,106.90999999999997,-6.2600000000000025,112.37849355161987,2021-08-01
133,JAKARTA TIMUR,9,2021,106.90999999999997,-6.2600000000000025,104.78629222768632,2021-09-01
136,JAKARTA TIMUR,10,2021,106.90999999999997,-6.2600000000000025,104.03913269126471,2021-10-01
139,JAKARTA TIMUR,11,2021,106.90999999999997,-6.2600000000000025,89.51950661777214,2021-11-01
142,JAKARTA TIMUR,12,2021,106.90999999999997,-6.2600000000000025,90.36775622216044,2021-12-01
145,JAKARTA UTARA,1,2021,106.89166666666664,-6.1250000000000036,71.67618808063658,2021-01-01
148,JAKARTA UTARA,2,2021,106.89166666666664,-6.1250000000000036,59.94424293119033,2021-02-01
151,JAKARTA UTARA,3,2021,106.89166666666664,-6.1250000000000036,92.83540358538204,2021-03-01
154,JAKARTA UTARA,4,2021,106.89166666666664,-6.1250000000000036,109.19106048261567,2021-04-01
157,JAKARTA UTARA,5,2021,106.89166666666664,-6.1250000000000036,114.87855977374075,2021-05-01
160,JAKARTA UTARA,6,2021,106.89166666666664,-6.1250000000000036,106.77456676734356,2021-06-01
163,JAKARTA UTARA,7,2021,106.89166666666664,-6.1250000000000036,115.23613638133348,2021-07-01
166,JAKARTA UTARA,8,2021,106.89166666666664,-6.1250000000000036,101.36578894815658,2021-08-01
169,JAKARTA UTARA,9,2021,106.89166666666664,-6.1250000000000036,95.47112014654688,2021-09-01
172,JAKARTA UTARA,10,2021,106.89166666666664,-6.1250000000000036,95.52213167657881,2021-10-01
175,JAKARTA UTARA,11,2021,106.89166666666664,-6.1250000000000036,81.28354807670554,2021-11-01
178,JAKARTA UTARA,12,2021,106.89166666666664,-6.1250000000000036,81.74633207496932,2021-12-01
2,JAKARTA BARAT,1,2022,106.74999999999996,-6.158333333333336,78.3977121489002,2022-01-01
