,KABKOT,month,year,longitude,latitude,pm2p5,time
131,JAKARTA TIMUR,8,2022,106.90999999999997,-6.2600000000000025,65.47173383116619,2022-08-01
134,JAKARTA TIMUR,9,2022,106.90999999999997,-6.2600000000000025,64.92452798608504,2022-09-01
137,JAKARTA TIMUR,10,2022,106.90999999999997,-6.2600000000000025,52.89946362833473,2022-10-01
140,JAKARTA TIMUR,11,2022,106.90999999999997,-6.2600000000000025,49.73231258439029,2022-11-01
143,JAKARTA TIMUR,12,2022,106.90999999999997,-6.2600000000000025,41.678377940297885,2022-12-01
146,JAKARTA UTARA,1,2022,106.89166666666664,-6.1250000000000036,40.76400269386533,2022-01-01
149,JAKARTA UTARA,2,2022,106.89166666666664,-6.1250000000000036,42.87336522344912,2022-02-01
152,JAKARTA UTARA,3,2022,106.89166666666664,-6.1250000000000036,48.76107413447829,2022-03-01
155,JAKARTA UTARA,4,2022,106.89166666666664,-6.1250000000000036,51.73594371083529,2022-04-01
158,JAKARTA UTARA,5,2022,106.89166666666664,-6.1250000000000036,56.0144364728886,2022-05-01
161,JAKARTA UTARA,6,2022,106.89166666666664,-6.1250000000000036,60.46234191043472,2022-06-01
164,JAKARTA UTARA,7,2022,106.89166666666664,-6.1250000000000036,58.9461579518051,2022-07-01
167,JAKARTA UTARA,8,2022,106.89166666666664,-6.1250000000000036,60.172356888761044,2022-08-01
170,JAKARTA UTARA,9,2022,106.89166666666664,-6.1250000000000036,61.18595596799778,2022-09-01
173,JAKARTA UTARA,10,2022,106.89166666666664,-6.1250000000000036,49.7260684125443,2022-10-01
176,JAKARTA UTARA,11,2022,106.89166666666664,-6.1250000000000036,46.806575919846885,2022-11-01
179,JAKARTA UTARA,12,2022,106.89166666666664,-6.1250000000000036,39.19532022105745,2022-12-01
